,SOI,nino
1955-02-01,1.3423079185225897,-0.93
1955-03-01,0.3356258518792817,-0.95
1955-04-01,-0.14490291037272846,-1.14
1955-05-01,1.4185648978553194,-1.25
1955-06-01,1.749094945047874,-1.13
1955-07-01,1.9918639181512208,-0.98
1955-08-01,1.5203373746432771,-1.33
1955-09-01,1.3430763932930123,-1.19
1955-10-01,1.4825937483491305,-2.13
1955-11-01,1.39766439577804,-2.45
1955-12-01,0.8468094452959518,-2.1
1956-01-01,1.1397361251378086,-1.39
1956-02-01,1.0896098791772395,-0.83
1956-03-01,0.9677462903961078,-0.71
1956-04-01,1.1046221863192658,-0.83
1956-05-01,1.8876965963584125,-0.68
1956-06-01,1.340427901812452,-0.7
1956-07-01,1.329171549944908,-0.91
1956-08-01,1.1370590449012594,-1.02
1956-09-01,-0.026368187582268277,-0.92
1956-10-01,1.7797918078692023,-0.95
1956-11-01,0.10949444575223988,-1.1
1956-12-01,0.9492755838797716,-0.98
1957-01-01,0.5762409249518508,-0.58
1957-02-01,-0.21599665744031446,-0.25
1957-03-01,-0.033111070588816904,0.32
1957-04-01,0.22260447100726,0.55
1957-05-01,-1.0834708274949258,0.68
1957-06-01,-0.1307734538351232,0.59
1957-07-01,0.13632528717357398,0.83
1957-08-01,-0.9070920470560486,0.82
1957-09-01,-1.0981074247889508,0.71
1957-10-01,-0.12227577305965172,0.7
1957-11-01,-1.2430840017747915,1.06
1957-12-01,-0.4340172870015044,1.4
1958-01-01,-1.6307819424430885,1.7
1958-02-01,-0.6371600563492152,1.59
1958-03-01,-0.08578777379862228,1.01
1958-04-01,0.22260447100726,0.55
1958-05-01,-0.6925277454089556,0.44
1958-06-01,0.11442677210609288,0.36
1958-07-01,0.2688637608148668,0.2
1958-08-01,0.8176604367829232,-0.03
1958-09-01,-0.3836145999845184,-0.32
1958-10-01,-0.1817153849636932,-0.18
1958-11-01,-0.5345905292606602,0.16
1958-12-01,-0.7414157027528473,0.09
1959-01-01,-0.8324970755129903,0.47
1959-02-01,-1.2689051547126142,0.42
1959-03-01,0.8623928839766168,0.22
1959-04-01,0.4431088998353032,0.14
1959-05-01,0.40211288443174337,-0.11
1959-06-01,-0.5394404970704524,-0.35
1959-07-01,-0.4600978442120929,-0.72
1959-08-01,-0.4599339956904216,-0.61
1959-09-01,-0.026368187582268277,-0.65
1959-10-01,0.4126807340765865,-0.36
1959-11-01,1.0112134107702853,-0.41
1959-12-01,0.7443433067121903,-0.25
1960-01-01,0.059703658114731675,-0.42
1960-02-01,-0.21599665744031446,-0.56
1960-03-01,0.5990093679279492,-0.36
1960-04-01,0.8106162812152081,-0.29
1960-05-01,0.6366787336832901,-0.29
1960-06-01,-0.1307734538351232,-0.45
1960-07-01,0.533940708097377,-0.21
1960-08-01,0.6899009935356323,-0.08
1960-09-01,0.6285835684885123,-0.23
1960-10-01,-0.06283616115567782,-0.43
1960-11-01,0.6247624257626039,-0.39
1960-12-01,0.5906440988364605,-0.28
1961-01-01,-0.22204394197824726,-0.29
1961-02-01,0.5420974605956878,-0.22
1961-03-01,-1.9821490893489808,-0.33
1961-04-01,0.9576192337672368,-0.29
1961-05-01,0.2457356515973197,-0.06
1961-06-01,-0.2125068624821333,0.17
1961-07-01,0.26886376081479146,-0.12
1961-08-01,0.051103777298887314,-0.5
1961-09-01,0.03317288115145136,-0.85
1961-10-01,-0.478913444483833,-0.85
1961-11-01,0.6247624257626039,-0.53
1961-12-01,1.3079070689230243,-0.49
1962-01-01,1.703231325323713,-0.55
1962-02-01,0.4578647808138885,-0.55
1962-03-01,-0.0857877737985624,-0.53
1962-04-01,0.22260447100726,-0.57
1962-05-01,1.340376281438019,-0.68
1962-06-01,0.604827223988618,-0.51
1962-07-01,0.0037868135323565174,-0.35
1962-08-01,0.49826182866458707,-0.41
1962-09-01,0.4499603622873534,-0.75
1962-10-01,1.007076853116866,-0.73
1962-11-01,0.4315369332586899,-0.85
1962-12-01,-0.024152732666283448,-0.94
1963-01-01,0.9519043917425072,-0.81
1963-02-01,0.247283081359486,-0.44
1963-03-01,0.7570394775571259,-0.01
1963-04-01,0.6636133286632628,0.07
1963-05-01,0.40211288443174337,-0.2
1963-06-01,-0.8663741316588643,-0.0
1963-07-01,-0.06248242328836522,0.62
1963-08-01,-0.2044151091956945,0.7
1963-09-01,-0.5622378061856096,0.64
1963-10-01,-1.2516283992362371,0.77
1963-11-01,-0.9854500117696464,0.87
1963-12-01,-1.253746395671888,1.02
1964-01-01,-0.36291774202471005,0.76
1964-02-01,-0.04753129787676371,0.44
1964-03-01,0.8623928839766168,-0.22
1964-04-01,1.3251266151472254,-0.73
1964-05-01,0.40211288443174337,-0.97
1964-06-01,0.850027449929927,-1.03
1964-07-01,0.7327484185592409,-0.86
1964-08-01,1.4564576530195956,-1.19
1964-09-01,1.3430763932930123,-1.34
1964-10-01,1.2448353007329644,-1.25
1964-11-01,0.17390294325361774,-1.34
1964-12-01,-0.3827842177095945,-1.27
1965-01-01,-0.36291774202471005,-0.89
1965-02-01,0.12093406168678705,-0.46
1965-03-01,0.3356258518792817,-0.21
1965-04-01,-1.0269206256846506,-0.18
1965-05-01,0.08935841876298495,0.15
1965-06-01,-1.1933077662471834,0.5
1965-07-01,-2.2493672383691687,0.74
1965-08-01,-1.0987312119270942,1.14
1965-09-01,-1.455353837191201,1.2
1965-10-01,-1.0733095635241128,1.47
1965-11-01,-1.8227604792863872,1.56
1965-12-01,0.0783134059174781,1.38
1966-01-01,-1.1612026089548078,1.08
1966-02-01,-0.3844620170039131,0.83
1966-03-01,-1.297351947622469,0.89
1966-04-01,-0.5124102917527169,0.45
1966-05-01,-0.7707163618261674,-0.24
1966-06-01,0.1961601807532888,0.08
1966-07-01,-0.06248242328828989,0.14
1966-08-01,0.4343821070409053,-0.28
1966-09-01,-0.2645324625170791,-0.34
1966-10-01,-0.2411549968677347,-0.39
1966-11-01,-0.08373104675160085,-0.32
1966-12-01,-0.4852503562934143,-0.48
1967-01-01,1.4684416585795728,-0.49
1967-02-01,1.1317262190681392,-0.48
1967-03-01,0.8097161807668714,-0.66
1967-04-01,-0.14490291037272846,-0.89
1967-05-01,-0.2233960469058624,-0.42
1967-06-01,0.7682940412828241,-0.07
1967-07-01,0.2025945239942204,-0.11
1967-08-01,0.6260212719119506,-0.31
1967-09-01,0.4499603622874211,-0.72
1967-10-01,-0.0033965492515687697,-0.6
1967-11-01,-0.4701820317592823,-0.47
1967-12-01,-0.6389495641690275,-0.59
1968-01-01,0.4353671249053345,-0.89
1968-02-01,0.8369118398319375,-1.04
1968-03-01,-0.24381788342779884,-0.95
1968-04-01,-0.14490291037272846,-0.71
1968-05-01,1.574942130689654,-0.76
1968-06-01,1.340427901812359,-0.0
